,zip.code,type,num.beds,num.baths,living.area,lot.area,KitchenSqFt,masterbedroomSqFt,age.of.home,myresponse
250,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1703,0,169,143,1,720000
251,2128,Condo/Townhome/Row Home/Co-Op,1,1,766,0,100,120,1,486000
252,2128,Single Family Home,3,2,2219,0.183700643,144,224,34,665000
253,2128,Condo/Townhome/Row Home/Co-Op,2,2,1068,0,81,156,119,555000
254,2128,Condo/Townhome/Row Home/Co-Op,1,1,731,0,100,228,1,510000
255,2128,Condo/Townhome/Row Home/Co-Op,2,2,1006,0,81,156,119,599900
256,2128,Condo/Townhome/Row Home/Co-Op,2,2,1010,0,121,182,140,567000
257,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1703,0,169,143,1,699000
258,2128,Condo/Townhome/Row Home/Co-Op,2,2,1126,0,81,165,119,625000
259,2129,Condo/Townhome/Row Home/Co-Op,2,2,1240,0,256,195,134,825000
260,2129,Condo/Townhome/Row Home/Co-Op,3,2,1333,0,256,204,109,735000
261,2129,Single Family Home,3,1,1384,0.022153352,169,247,149,650000
262,2129,Condo/Townhome/Row Home/Co-Op,2,1.5,858,0,163.84,156,159,659000
263,2129,Condo/Townhome/Row Home/Co-Op,2,1.5,1311,0.030096419,100,160,119,605833
264,2129,Condo/Townhome/Row Home/Co-Op,2,2,1759,0,81,156,30,1260000
265,2129,Single Family Home,3,2.5,1966,0.028581267,144,120,44,1260000
266,2129,Single Family Home,4,3,2400,0.02405877,121,270,220,1715000
267,2129,Condo/Townhome/Row Home/Co-Op,2,2,910,0,64,121,33,725000
268,2129,Single Family Home,4,3.5,3280,0.040174472,144,384,159,2500000
269,2129,Condo/Townhome/Row Home/Co-Op,2,1,727,0,81,120,120,550000
270,2129,Single Family Home,3,1.5,1635,0.024793388,324,238,129,1200000
271,2129,Condo/Townhome/Row Home/Co-Op,4,3,2047,0,144,357,134,1175000
272,2129,Condo/Townhome/Row Home/Co-Op,2,2,1221,0,100,143,112,1180000
273,2129,Single Family Home,4,2,1710,0.021808999,225,143,162,1335000
274,2129,Condo/Townhome/Row Home/Co-Op,2,2,963,0.022107438,81,156,19,508824
275,2129,Condo/Townhome/Row Home/Co-Op,1,1,647,0,64,165,120,489000
276,2129,Condo/Townhome/Row Home/Co-Op,2,2,1383,0.031749311,49,130,120,840000
277,2129,Condo/Townhome/Row Home/Co-Op,2,2,1396,0,225,255,154,1112000
278,2129,Single Family Home,3,2.5,1527,0.024150597,100,143,120,1043000
279,2129,Single Family Home,3,2,1505,0.026629936,100,170,160,1130000
280,2129,Single Family Home,4,2.5,2600,0.033241506,289,225,164,1660000
281,2129,Single Family Home,3,3.5,2334,0.013774105,64,210,139,1578000
282,2129,Condo/Townhome/Row Home/Co-Op,2,1,825,0,144,169,99,489000
283,2129,Condo/Townhome/Row Home/Co-Op,2,2.5,1442,0.033103765,144,192,35,1160000
284,2129,Single Family Home,4,2.5,1920,0.022956841,225,168,144,920000
285,2130,Condo/Townhome/Row Home/Co-Op,2,1.5,1110,0,144,176,109,541500
286,2130,Condo/Townhome/Row Home/Co-Op,2,1,970,0.022268136,169,208,125,610000
287,2130,Condo/Townhome/Row Home/Co-Op,2,2,1200,0.026629936,100,204,134,550000
288,2130,Condo/Townhome/Row Home/Co-Op,2,1,1134,0,81,204,56,520000
289,2130,Condo/Townhome/Row Home/Co-Op,3,2,1173,0.025252525,169,224,119,815000
290,2130,Condo/Townhome/Row Home/Co-Op,2,2,1042,0.023921028,1156,176,119,645000
291,2130,Condo/Townhome/Row Home/Co-Op,3,2.5,1560,0,121,110,1,697000
292,2130,Condo/Townhome/Row Home/Co-Op,2,2,915,0,121,143,109,619000
293,2130,Condo/Townhome/Row Home/Co-Op,3,1,1033,0,144,180,119,490000
294,2130,Single Family Home,3,2.5,1993,0,529,144,4,840000
295,2130,Condo/Townhome/Row Home/Co-Op,3,1,1016,0,289,180,119,540000
